Table with row headers in columns A and B and column headers in rows 4 through 5 and 48 through 49,,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2024",,,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,,
Characteristics,,Total not voting1,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
Total,,"18,161",12.4,7.4,4.1,19.7,17.8,2.2,14.7,3.6,0.3,2.4,12.2,3.1
Age,18 to 24 years,"2,611",2.8,14.1,5.0,20.4,22.3,2.3,10.1,5.3,0.0,1.6,12.8,3.3
,25 to 44 years,"7,476",6.4,6.3,4.7,21.1,23.6,1.6,14.0,3.5,0.2,3.2,12.2,3.2
,45 to 64 years,"4,960",12.5,7.7,3.5,19.9,15.7,2.1,17.8,3.5,0.6,2.1,12.4,2.4
,65 years and over,"3,115",35.0,4.2,3.1,15.7,3.5,3.8,15.4,2.6,0.3,1.5,11.4,3.6
Sex,Male,"9,071",10.0,8.8,4.6,21.0,18.5,1.6,15.2,3.6,0.2,2.2,11.4,2.7
,Female,"9,090",14.8,6.1,3.7,18.4,17.0,2.8,14.2,3.6,0.4,2.5,13.0,3.4
Race and Hispanic Origin,White alone,"13,295",12.4,7.6,4.5,18.6,17.2,1.9,15.1,4.2,0.3,2.5,12.5,3.0
,White non-Hispanic alone,"10,380",13.4,7.6,4.7,17.4,16.1,2.1,15.7,4.6,0.4,2.4,12.6,3.0
,Black alone,"3,040",13.7,5.0,2.2,23.8,17.1,3.4,15.2,2.1,0.2,2.1,11.1,4.0
,Asian alone,930,10.0,12.6,4.1,19.2,21.4,0.9,12.0,3.1,0.4,1.1,11.2,3.9
,Hispanic (any race),"3,332",9.1,7.7,3.4,23.1,21.8,1.4,12.4,2.7,0.0,2.8,12.8,2.7
,White alone or in combination,"13,790",12.2,7.8,4.5,18.9,17.5,1.9,15.0,4.0,0.3,2.5,12.5,2.9
